"header","class","mechanism","group","F2O7_S29_L004","F2R23_S11_L004","F1O10_S21_L004","F2R33_S16_L004","F1O8_S19_L004","F2O15_S33_L004","F1O9_S20_L004","F2R24_S12_L004","F1R11_S9_L004","F1O11_S22_L004","F2R26_S13_L004","F2R35_S17_L004","F2O1_S26_L004","F204_S27_L004","F1R5_S6_L004","F2O9_S30_L004","F2R22_S10_L004","F1O12_S23_L004","F2O14_S32_L004","F1R3_S4_L004","F1R9_S8_L004","F1O13_S24_L004","F1O14_S25_L004","F1R1_S3_L004","F2O12_S31_L004","F2R30_S15_L004","F2R28_S14_L004","F1O3_S18_L004","F1R7_S7_L004","F2O5_S28_L004","F1R4_S5_L004"
"1191|AJ243491.1|AJ243491|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME","Aminoglycosides","Aminoglycoside O-nucleotidyltransferases","ANT3-DPRIME",0,0,531,235,213,0,200,0,43,12,0,202,0,21,0,0,0,564,231,15,0,0,162,431,108,0,0,299,608,0,597
"1199|JN118546.1|JN118546|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME","Aminoglycosides","Aminoglycoside O-nucleotidyltransferases","ANT3-DPRIME",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0
"11|DQ679966.1|DQ679966|Multi-drug_resistance|Multi-drug_efflux_pumps|ACRB","Multi-drug resistance","Multi-drug efflux pumps","ACRB",2283,1085,805,2143,1344,1952,627,2450,2302,0,2702,2538,2001,1176,2142,381,2452,2361,1724,2093,356,1425,340,2452,1747,1894,2342,890,244,0,0
"1205|JN086160.1|JN086160|MLS|23S_rRNA_methyltransferases|ERMF","MLS","23S rRNA methyltransferases","ERMF",0,0,1317,0,948,121,474,0,21,458,0,0,0,355,1118,0,0,1073,292,18,0,430,590,196,0,0,0,632,866,0,0
"1233|AY139598.1|AY139598|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME","Aminoglycosides","Aminoglycoside O-nucleotidyltransferases","ANT3-DPRIME",186,26,0,205,17,159,0,0,0,0,88,267,184,0,0,0,0,0,311,371,88,0,0,0,89,932,69,0,0,0,0
"1241|AY044436.1|AY044436|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",0,0,0,0,0,0,0,88,0,0,0,128,0,0,0,0,127,0,0,0,0,0,0,0,0,20,0,0,0,0,0
"1253|AF315351.1|AF315351|betalactams|Class_D_betalactamases|OXA","betalactams","Class D betalactamases","OXA",0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
"1261|AY178993.1|AY178993|betalactams|Class_A_betalactamases|CARB","betalactams","Class A betalactamases","CARB",41,0,59,0,0,26,58,0,0,0,0,0,27,23,0,0,0,18,29,0,0,28,43,0,48,0,0,25,1469,49,1502
"1267|AB976602.1|AB976602|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",159,65,0,521,0,144,0,0,0,0,128,509,163,0,0,0,23,0,0,0,0,0,0,0,141,470,102,0,0,0,0
"1268|AB976602.1|AB976602|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",1100,818,221,1305,868,1011,1297,1730,1394,168,1059,1450,1065,1425,1672,63,1727,1023,1036,1652,0,1601,262,918,1061,1430,1006,586,974,79,30
"126|AJ579365.1|AJ579365|MLS|23S_rRNA_methyltransferases|ERMA","MLS","23S rRNA methyltransferases","ERMA",0,0,60,0,107,0,66,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,91,0,0,180
"1295|AF091113.2|AF091113|betalactams|Class_A_betalactamases|TEM","betalactams","Class A betalactamases","TEM",0,0,0,0,0,0,0,24,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1298|KM926622.1|KM926622|betalactams|Class_C_betalactamases|ACT","betalactams","Class C betalactamases","ACT",0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"1374|DQ077487.1|DQ077487|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TET33","Tetracyclines","Tetracycline resistance major facilitator superfamily MFS efflux pumps","TET33",0,0,987,0,672,0,1193,0,963,160,54,0,40,60,0,47,0,0,0,0,89,772,872,900,24,0,0,572,104,0,208
"1390|EU348758.1|EU348758|MLS|23S_rRNA_methyltransferases|ERMA","MLS","23S rRNA methyltransferases","ERMA",0,0,0,0,0,0,0,13,33,0,0,0,0,0,0,0,15,0,0,22,0,0,0,0,0,9,0,0,0,0,26
"139|AB894099.1|AB894099|Multi-drug_resistance|Multi-drug_efflux_pumps|cme","Multi-drug resistance","Multi-drug efflux pumps","cme",0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0
"13|L11616.1|PSEENVCD|Multi-drug_resistance|Multi-drug_efflux_pumps|MEXB","Multi-drug resistance","Multi-drug efflux pumps","MEXB",0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0
"1420|DQ018710.1|DQ018710|Glycopeptides|VanA-type_resistance_protein|VANXA","Glycopeptides","VanA-type resistance protein","VANXA",0,0,0,0,9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
"144|JF769133.1|JF769133|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT2-DPRIME","Aminoglycosides","Aminoglycoside O-nucleotidyltransferases","ANT2-DPRIME",12,0,174,109,243,0,16,0,10,77,0,133,0,657,0,420,0,38,10,0,128,30,50,0,0,0,0,158,0,0,271
"1454|J01764.1|PT1CG|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETK","Tetracyclines","Tetracycline resistance major facilitator superfamily MFS efflux pumps","TETK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,990
"145|JF769133.1|JF769133|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME","Aminoglycosides","Aminoglycoside O-nucleotidyltransferases","ANT3-DPRIME",0,0,405,328,382,42,362,424,507,0,174,383,46,341,551,0,409,483,98,0,0,0,106,666,379,0,120,115,322,0,404
"1463|M81802.1|STAMSRB|MLS|Macrolide_resistance_efflux_pumps|MSRA","MLS","Macrolide resistance efflux pumps","MSRA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424
"1470|unknown_id|unknown_name|betalactams|Class_A_betalactamases|CARB","betalactams","Class A betalactamases","CARB",54,0,24,0,0,11,28,0,0,19,0,0,0,0,0,0,0,0,0,0,0,24,32,0,0,0,0,0,1500,0,1535
"1479|HF953351.1|HF953351|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6","Aminoglycosides","Aminoglycoside O-phosphotransferases","APH6",1615,1579,1604,1614,1591,1409,1600,1615,1615,1142,1609,1616,1612,1565,1613,1161,1615,1616,1587,1616,130,1611,1512,1615,1601,1606,1594,1346,1131,839,1617
"1482|HF953351.1|HF953351|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETH","Tetracyclines","Tetracycline resistance major facilitator superfamily MFS efflux pumps","TETH",1156,0,1996,16,1534,917,330,85,291,1634,38,0,892,1523,0,23,127,0,1789,178,38,1116,1795,471,210,103,45,751,2226,0,2304
"148|JF769133.1|JF769133|Multi-drug_resistance|Multi-drug_efflux_pumps|MSR","Multi-drug resistance","Multi-drug efflux pumps","MSR",0,16,17,48,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,23,48,17,0,0,0,20,2894,0,2895
"1493|AY339625.2|AY339625|betalactams|Class_C_betalactamases|CMY","betalactams","Class C betalactamases","CMY",0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"149|JF769133.1|JF769133|MLS|Macrolide_phosphotransferases|MPHE","MLS","Macrolide phosphotransferases","MPHE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1639,0,1638
"1507|unknown_id|unknown_name|MLS|Macrolide_phosphotransferases|MPHE","MLS","Macrolide phosphotransferases","MPHE",0,11,0,10,0,0,12,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1711,0,1711
"1521|AF174129.3|AF174129|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME","Aminoglycosides","Aminoglycoside O-nucleotidyltransferases","ANT3-DPRIME",0,0,297,154,514,0,186,413,827,0,79,245,0,257,661,0,407,231,0,747,106,407,40,695,268,388,68,90,110,0,75
"1531|unknown_id|unknown_name|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETA","Tetracyclines","Tetracycline resistance major facilitator superfamily MFS efflux pumps","TETA",2093,1884,2139,2256,2169,1993,1937,2251,2276,254,2157,2231,2160,1682,2231,831,2246,2203,2225,2211,872,2095,663,2238,1691,2296,2115,1478,798,973,633
"1538|unknown_id|unknown_name|Phenicol|Phenicol_efflux_pumps|FLOR","Phenicol","Phenicol efflux pumps","FLOR",1917,1853,1912,2117,1869,2134,1684,1972,2036,1918,2141,2136,1909,1961,1923,1422,1984,2037,2231,1980,114,2132,1989,2206,1462,2072,2100,1635,2383,492,2320
"1577|EU850412.1|EU850412|betalactams|Class_A_betalactamases|CARB","betalactams","Class A betalactamases","CARB",32,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,10,0,0,0,20,0,0,0,0,0,1474,18,1606
"1597|HQ713678.1|HQ713678|Phenicol|Phenicol_efflux_pumps|CML","Phenicol","Phenicol efflux pumps","CML",0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0
"15|AJ252200.1|AJ252200|Multi-drug_resistance|Multi-drug_efflux_pumps|HLYD","Multi-drug resistance","Multi-drug efflux pumps","HLYD",230,0,803,0,615,409,1111,0,0,710,0,0,236,134,0,67,0,698,170,0,0,786,872,0,263,0,0,746,0,249,0
"1613|AY740681.1|AY740681|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME","Aminoglycosides","Aminoglycoside O-nucleotidyltransferases","ANT3-DPRIME",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1628|Y17716.1|Y17716|betalactams|Class_C_betalactamases|CMY","betalactams","Class C betalactamases","CMY",752,0,0,77,0,221,0,462,73,0,97,166,541,0,0,0,438,384,399,201,0,0,0,543,0,0,0,0,0,0,0
"1634|AB985401.1|AB985401|betalactams|Class_A_betalactamases|CARB","betalactams","Class A betalactamases","CARB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0
"1650|U36911.1|SAU36911|betalactams|Class_A_betalactamases|TEM","betalactams","Class A betalactamases","TEM",109,107,0,102,0,85,0,86,0,0,69,117,80,0,0,0,83,0,203,87,0,0,0,0,0,63,0,12,18,0,0
"1656|AY920928.1|AY920928|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT2-DPRIME","Aminoglycosides","Aminoglycoside O-nucleotidyltransferases","ANT2-DPRIME",0,0,36,18,55,0,0,0,0,20,0,30,0,287,0,121,0,0,0,0,21,5,13,0,0,0,0,30,0,0,33
"16|AJ252200.1|AJ252200|Multi-drug_resistance|Multi-drug_efflux_pumps|sme","Multi-drug resistance","Multi-drug efflux pumps","sme",690,0,2388,0,1684,1064,3212,0,0,2222,0,0,831,384,0,245,0,1982,511,0,0,2011,2588,0,646,0,0,1887,0,670,0
"1736|AY033516.1|AY033516|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",435,93,0,1141,0,386,0,88,0,0,369,1144,386,30,0,0,98,0,147,0,0,0,0,0,398,939,352,0,0,0,0
"1737|AY033516.1|AY033516|betalactams|Class_A_betalactamases|CTX","betalactams","Class A betalactamases","CTX",1060,528,122,1042,661,966,857,1417,939,112,802,1113,1030,934,1134,45,1450,795,947,1105,0,1094,121,753,1034,1251,696,348,457,65,0
"1742|AF313471.1|AF313471|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME","Aminoglycosides","Aminoglycoside O-nucleotidyltransferases","ANT3-DPRIME",0,71,327,1166,373,130,1190,309,93,56,702,1182,315,80,123,0,309,885,285,0,0,35,937,608,292,56,584,342,1234,57,1238
"174|AF453998.2|AF453998|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME","Aminoglycosides","Aminoglycoside O-nucleotidyltransferases","ANT3-DPRIME",0,0,59,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1758|JN676230.2|JN676230|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME","Aminoglycosides","Aminoglycoside O-nucleotidyltransferases","ANT3-DPRIME",0,61,801,880,663,469,949,245,84,68,467,841,240,72,297,8,234,1387,807,0,0,39,692,1172,460,49,473,660,1139,51,1123
"179|M16217.1|PNS1CG|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETK","Tetracyclines","Tetracycline resistance major facilitator superfamily MFS efflux pumps","TETK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2326
"17|AJ252200.1|AJ252200|Multi-drug_resistance|Multi-drug_efflux_pumps|cme","Multi-drug resistance","Multi-drug efflux pumps","cme",133,0,498,0,333,241,733,0,0,467,0,0,175,74,0,57,0,415,115,0,0,460,572,0,150,0,0,462,0,136,0
"1821|GQ149347.1|GQ149347|betalactams|Class_A_betalactamases|TEM","betalactams","Class A betalactamases","TEM",306,219,59,240,0,254,14,284,0,6,0,373,0,0,0,0,267,0,474,286,0,12,12,292,138,0,0,10,0,0,0
"182|AF118107.1|AF118107|Phenicol|Phenicol_efflux_pumps|FLOR","Phenicol","Phenicol efflux pumps","FLOR",1604,1259,1398,1809,1560,1409,1617,1683,1744,1496,1659,1800,1636,1716,1583,1081,1689,1818,1650,1723,74,1638,1453,1886,1177,1607,1540,1264,1973,318,1977
"184|KF823969.1|KF823969|Glycopeptides|VanB-type_regulator|VANRB","Glycopeptides","VanB-type regulator","VANRB",0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1850|AF156486.1|AF156486|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME","Aminoglycosides","Aminoglycoside O-nucleotidyltransferases","ANT3-DPRIME",0,68,799,389,1009,55,527,872,1312,43,270,599,56,585,1256,0,870,686,89,1278,252,969,114,1247,683,820,201,242,288,0,151
"185|KF823969.1|KF823969|Glycopeptides|VanB-type_regulator|VANSB","Glycopeptides","VanB-type regulator","VANSB",0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1863|AJ620678.1|AJ620678|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME","Aminoglycosides","Aminoglycoside O-nucleotidyltransferases","ANT3-DPRIME",0,0,536,0,0,0,288,0,35,0,0,94,0,19,0,0,0,597,0,0,0,0,0,549,0,0,0,370,349,0,352
"1864|AJ620678.1|AJ620678|betalactams|Class_D_betalactamases|OXA","betalactams","Class D betalactamases","OXA",0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0
"1871|KC292503.1|KC292503|betalactams|Class_A_betalactamases|TEM","betalactams","Class A betalactamases","TEM",588,165,112,562,98,217,0,455,552,0,382,761,471,0,356,0,425,123,295,566,0,0,0,568,0,318,188,0,0,0,0
"1899|AM932669.1|AM932669|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME","Aminoglycosides","Aminoglycoside O-nucleotidyltransferases","ANT3-DPRIME",0,69,295,1151,317,110,1146,300,96,71,617,1145,257,104,0,0,283,829,288,0,0,30,934,589,246,65,566,317,1228,53,1211
"1903|unknown_id|unknown_name|betalactams|Class_A_betalactamases|TEM","betalactams","Class A betalactamases","TEM",314,385,0,297,71,223,0,393,301,0,199,408,204,0,212,0,342,0,504,320,0,12,0,322,142,195,93,0,53,0,0
"1923|HQ185697.1|HQ185697|betalactams|Class_C_betalactamases|CMY","betalactams","Class C betalactamases","CMY",758,0,0,69,0,193,0,447,45,0,40,117,449,0,0,0,388,328,281,175,0,0,0,467,0,0,37,0,0,0,0
"222|JQ394987.1|JQ394987|Multi-drug_resistance|Multi-drug_efflux_pumps|MDFA","Multi-drug resistance","Multi-drug efflux pumps","MDFA",2191,1514,1541,2231,1708,2102,1064,2261,2237,234,2328,2270,2142,1636,2161,471,2228,2268,1966,2174,394,1968,480,2259,2026,2141,2294,1504,350,151,44
"233|unknown_id|unknown_name|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULIII","Sulfonamides","Sulfonamide-resistant dihydropteroate synthases","SULIII",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0
"23|U58210.1|STU58210|betalactams|Penicillin_binding_protein|PBP2B","betalactams","Penicillin binding protein","PBP2B",0,0,101,0,138,0,153,0,984,95,0,0,0,0,0,0,0,73,0,0,0,85,141,3632,0,0,0,102,0,0,197
"246|DQ679966.1|DQ679966|Multi-drug_resistance|Multi-drug_efflux_pumps|MEXE","Multi-drug resistance","Multi-drug efflux pumps","MEXE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"249|AY743590.1|AY743590|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TET39","Tetracyclines","Tetracycline resistance major facilitator superfamily MFS efflux pumps","TET39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
"252|FJ744595.1|FJ744595|Multi-drug_resistance|Multi-drug_efflux_pumps|EMRD","Multi-drug resistance","Multi-drug efflux pumps","EMRD",0,224,0,274,323,0,0,1102,273,61,0,274,0,0,0,0,1028,410,238,242,0,256,97,0,270,0,0,281,0,0,0
"270|M33768.1|BACBMRX|Multi-drug_resistance|Multi-drug_efflux_pumps|BMR","Multi-drug resistance","Multi-drug efflux pumps","BMR",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,34,0,0,0,0,0,0
"283|AF121000.1|AF121000|MLS|23S_rRNA_methyltransferases|MYRA","MLS","23S rRNA methyltransferases","MYRA",0,0,0,0,0,0,373,0,472,0,0,0,0,0,0,0,0,0,185,0,0,78,225,425,299,0,0,186,0,0,0
"2|AY769962.1|AY769962|Multi-drug_resistance|Multi-drug_efflux_pumps|ADEB","Multi-drug resistance","Multi-drug efflux pumps","ADEB",0,0,0,0,0,0,44,0,0,0,63,0,0,0,0,0,0,0,0,96,0,0,103,67,0,0,48,0,0,0,0
"317|AF155139.2|AF155139|Glycopeptides|VanF-type_accessory_protein|VANZF","Glycopeptides","VanF-type accessory protein","VANZF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,12,0,0,0
"38|DQ516970.1|DQ516970|Multi-drug_resistance|Multi-drug_efflux_pumps|MSBA","Multi-drug resistance","Multi-drug efflux pumps","MSBA",66,0,402,0,384,33,646,0,0,478,0,0,35,0,0,0,0,406,57,0,0,417,744,0,0,0,0,563,47,57,106
"415|AF367983.2|AF367983|betalactams|Class_A_betalactamases|BLA1","betalactams","Class A betalactamases","BLA1",0,0,318,0,342,0,520,0,0,316,0,0,0,0,0,0,0,355,0,0,0,338,537,0,6,0,0,428,0,0,0
"419|U51479.1|EGU51479|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME","Aminoglycosides","Aminoglycoside O-phosphotransferases","APH2-DPRIME",0,573,735,307,462,7,1282,0,1290,373,0,65,0,0,0,0,0,0,0,0,220,0,18,1037,28,18,0,267,170,0,1142
"424|D85892.1|D85892|MLS|Macrolide_phosphotransferases|MPHB","MLS","Macrolide phosphotransferases","MPHB",0,0,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,1602,0,211
"43|L20800.1|CLOTETP|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETB","Tetracyclines","Tetracycline resistance major facilitator superfamily MFS efflux pumps","TETB",0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561,0,0,0
"457|AF310956.2|AF310956|Glycopeptides|VanB-type_resistance_protein|VANB","Glycopeptides","VanB-type resistance protein","VANB",0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"458|AF310956.2|AF310956|Glycopeptides|VanB-type_resistance_protein|VANXB","Glycopeptides","VanB-type resistance protein","VANXB",0,0,10,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"503|FJ848785.1|FJ848785|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3","Aminoglycosides","Aminoglycoside N-acetyltransferases","AAC3",210,52,0,343,24,127,0,1339,0,0,316,711,165,0,25,0,1280,53,306,0,0,23,20,19,0,75,244,10,222,0,0
"518|AJ007350.1|AJ007350|betalactams|Class_A_betalactamases|ACI","betalactams","Class A betalactamases","ACI",0,393,1427,0,1254,0,1406,0,237,1325,83,0,0,0,576,0,0,0,0,0,118,971,1504,21,0,0,41,1411,0,0,20
"554|FN806789.1|FN806789|MLS|23S_rRNA_methyltransferases|ERMB","MLS","23S rRNA methyltransferases","ERMB",10,69,727,21,350,0,858,0,531,510,95,43,0,288,136,0,0,76,274,801,343,187,612,447,25,36,33,501,142,8,590
"569|DQ018711.1|DQ018711|Glycopeptides|VanA-type_accessory_protein|VANWA","Glycopeptides","VanA-type accessory protein","VANWA",0,0,37,0,32,0,79,0,0,58,0,0,0,0,0,0,0,39,0,0,0,47,87,0,0,0,0,45,0,0,0
"576|M20305.1|RP43APHA|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME","Aminoglycosides","Aminoglycoside O-phosphotransferases","APH3-PRIME",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"582|AY655721.2|AY655721|Glycopeptides|VanB-type_regulator|VANSB","Glycopeptides","VanB-type regulator","VANSB",0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"592|HQ424460.1|HQ424460|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME","Aminoglycosides","Aminoglycoside O-phosphotransferases","APH3-PRIME",24,0,136,0,82,43,191,0,0,144,0,0,34,16,0,0,0,92,14,0,0,92,148,0,28,0,0,100,0,43,0
"605|V01547.1|V01547|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME","Aminoglycosides","Aminoglycoside O-phosphotransferases","APH3-PRIME",1255,1503,1494,1449,1492,1501,1522,1321,1493,1495,1502,1430,1486,1452,1460,1439,1308,1455,1515,1492,1394,1458,1505,1442,1482,1365,1484,1499,945,1353,1442
"616|HQ875016.1|HQ875016|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME","Aminoglycosides","Aminoglycoside O-nucleotidyltransferases","ANT3-DPRIME",0,81,766,419,1069,59,501,925,1347,48,281,622,59,579,1296,0,860,662,96,1319,263,972,121,1289,689,830,219,243,286,0,160
