F2O7_S29_L004,F2R23_S11_L004,F1O10_S21_L004,F2R33_S16_L004,F1O8_S19_L004,F2O15_S33_L004,F1O9_S20_L004,F2R24_S12_L004,F1R11_S9_L004,F1O11_S22_L004,F2R26_S13_L004,F2R35_S17_L004,F2O1_S26_L004,F204_S27_L004,F1R5_S6_L004,F2O9_S30_L004,F2R22_S10_L004,F1O12_S23_L004,F2O14_S32_L004,F1R3_S4_L004,F1R9_S8_L004,F1O13_S24_L004,F1O14_S25_L004,F1R1_S3_L004,F2O12_S31_L004,F2R30_S15_L004,F2R28_S14_L004,F1O3_S18_L004,F1R7_S7_L004,F2O5_S28_L004,F1R4_S5_L004
gi|227018497|gb|FJ873739.1|betalactams|Class_A_betalactamases|CTX,0,0,0,35.0,0,0,0,83.0,0,0,0,88.0,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARD|phgb|HQ833651|244-1120|ARO:3001965|CTX-M-105|betalactams|Class_A_betalactamases|CTX,129.0,30.0,0,375.0,0,110.0,0,28.0,0,0,93.0,373.0,75.0,0,0,0,0,0,53.0,0,0,0,0,0,127.0,374.0,81.0,0,0,0,0
Bla|AJ437107.1|gene1|betalactams|Class_A_betalactamases|TEM,688.0,165.0,120.0,624.0,86.0,184.0,0,534.0,643.0,0,459.0,879.0,529.0,0,436.0,0,486.0,152.0,338.0,590.0,0,0,0,701.0,348.0,325.0,222.0,0,0,20.0,0
CARD|phgb|AY928180|0-495|ARO:3002837|lnuC|MLS|Lincosamide_nucleotidyltransferases|LNUC,5.0,119.0,828.0,8.0,828.0,13.0,864.0,22.0,503.0,816.0,79.0,0,826.0,688.0,487.0,401.0,13.0,30.0,11.0,89.0,309.0,798.0,832.0,607.0,660.0,22.0,51.0,836.0,52.0,0,377.0
Mdr|AY661734.1|gene2|Multi-drug_resistance|Multi-drug_efflux_pumps|MEPA,0,0,116.0,0,126.0,0,240.0,0,0,92.0,0,0,0,0,0,0,0,124.0,0,0,0,129.0,288.0,0,0,0,0,130.0,0,0,0
Sul|sul2_9_FJ197818|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,985.0,789.0,960.0,1288.0,1145.0,252.0,1202.0,1214.0,1214.0,547.0,796.0,1246.0,923.0,769.0,862.0,336.0,1185.0,1202.0,496.0,1049.0,31.0,1066.0,1258.0,1054.0,571.0,1053.0,846.0,1159.0,1425.0,48.0,1419.0
Tet|AB089595.1|gene1|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETB,1368.0,236.0,655.0,1020.0,538.0,359.0,112.0,1058.0,1341.0,912.0,659.0,987.0,1174.0,1409.0,1254.0,539.0,1027.0,1373.0,909.0,1409.0,0,644.0,139.0,1378.0,247.0,127.0,530.0,178.0,72.0,0,0
Bla|CTX-M-65_11_FJ907380|betalactams|Class_A_betalactamases|CTX,238.0,54.0,0,713.0,0,223.0,0,39.0,0,0,200.0,690.0,256.0,0,0,0,0,0,97.0,0,0,0,0,0,222.0,640.0,180.0,0,0,0,0
CARD|phgb|NC_012469|1800927-1802391|ARO:3000616|mel|MLS|Macrolide_resistance_efflux_pumps|MEL,1164.0,0,1175.0,0,0,0,0,0,0,811.0,0,0,956.0,1609.0,40.0,0,0,0,200.0,254.0,0,0,60.0,0,0,0,0,915.0,124.0,0,0
CARD|phgb|AY080894|3-879|ARO:3001884|CTX-M-22|betalactams|Class_A_betalactamases|CTX,0,0,0,0,0,0,0,56.0,0,0,0,0,0,0,0,0,106.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flq|QnrB61_1_AB734053|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,0,0,0,0,0,0,0,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gi|562889820|gb|KF585144.1|betalactams|Class_A_betalactamases|SHV,0,0,0,0,0,0,0,98.0,0,0,0,0,0,0,0,0,104.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGly|aac6-prime-Ib-cr_1_DQ303918|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,0,0,0,0,0,0,53.0,0,0,0,0,0,0,0,0,53.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CARD|pvgb|CP002695|3866610-3867801|ARO:3001312|elfamycin|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,100.0,0,249.0,0,211.0,144.0,359.0,0,0,189.0,0,0,101.0,53.0,0,24.0,0,156.0,130.0,0,0,270.0,324.0,0,72.0,0,0,296.0,0,75.0,0
Rif|CP004022.1|gene2794|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.0,0,0,0,0,0,0,0,0,0
Bla|OXA-36|AF300985|1-739|739|betalactams|Class_D_betalactamases|OXA,0,0,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bla|cepA_1_L13472|betalactams|Class_A_betalactamases|CEPA,0,1230.0,69.0,519.0,132.0,226.0,1101.0,1170.0,0,29.0,956.0,492.0,860.0,567.0,197.0,1192.0,1214.0,413.0,440.0,983.0,0,8.0,553.0,0,0,603.0,949.0,0,0,0,0
CARD|phgb|JX017364|238-1114|ARO:3001988|CTX-M-129|betalactams|Class_A_betalactamases|CTX,245.0,0,0,730.0,0,259.0,0,81.0,0,0,204.0,729.0,251.0,0,0,0,0,0,0,0,0,0,0,0,273.0,592.0,226.0,0,0,0,0
Sul|sul1_25_AY878717|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,41.0,60.0,615.0,883.0,728.0,184.0,868.0,655.0,1054.0,190.0,407.0,916.0,155.0,477.0,889.0,40.0,591.0,939.0,391.0,883.0,212.0,764.0,631.0,982.0,743.0,902.0,341.0,280.0,115.0,0,256.0
CARD|phgb|AM399080|1664-2150|ARO:3002835|lnuA|MLS|Lincosamide_nucleotidyltransferases|LNUA,13.0,0,729.0,0,613.0,0,608.0,0,798.0,634.0,0,0,0,0,18.0,0,0,442.0,0,186.0,140.0,628.0,703.0,436.0,0,0,0,686.0,890.0,0,810.0
AGly|NC_005024.2598370|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,0,0,0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,0,0,0,0,0,0,0,0,0,30.0,0,0,0
1521|AF174129.3|AF174129|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,297.0,154.0,514.0,0,186.0,413.0,827.0,0,79.0,245.0,0,257.0,661.0,0,407.0,231.0,0,747.0,106.0,407.0,40.0,695.0,268.0,388.0,68.0,90.0,110.0,0,75.0
Bla|CMY-35|EF394371|1-1146|1146|betalactams|Class_C_betalactamases|CMY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,0,0,0,0,0,0,0,0,0,0,0
Gly|VanS-C_1_AF162694|Glycopeptides|VanC-type_regulator|VANSC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0,0
CARD|phgb|NC_002695|4904931-4905630|ARO:3000831|cpxR|Multi-drug_resistance|MDR_regulator|CPXA,662.0,681.0,558.0,1097.0,679.0,767.0,377.0,1128.0,970.0,51.0,1159.0,1117.0,737.0,793.0,908.0,146.0,1124.0,1138.0,809.0,929.0,95.0,935.0,167.0,1100.0,892.0,1059.0,1124.0,372.0,131.0,55.0,10.0
Flq|FN543093.2|gene3588|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0,0,63.0,0,0,0,71.0,0,0,56.0,0,0,0,0,0,0,0,0,0,0,0,0,70.0,0,0,0,0,49.0,0,0,0
Bla|TEM-96|AY092401|1-861|861|betalactams|Class_A_betalactamases|TEM,259.0,106.0,24.0,225.0,0,216.0,0,209.0,239.0,0,150.0,353.0,172.0,0,121.0,0,160.0,28.0,364.0,229.0,0,0,0,240.0,61.0,134.0,39.0,0,9.0,0,0
gi|537366551|gb|KF305673.1|betalactams|Class_C_betalactamases|CMY,707.0,0,0,50.0,0,196.0,0,394.0,52.0,0,77.0,134.0,473.0,0,0,0,372.0,351.0,348.0,204.0,0,0,0,464.0,0,0,43.0,0,0,0,0
gi|586619660|gb|KF944358.1|betalactams|Class_A_betalactamases|TEM,653.0,198.0,128.0,571.0,128.0,222.0,0,511.0,655.0,0,407.0,826.0,486.0,0,427.0,0,519.0,114.0,399.0,592.0,0,0,0,652.0,338.0,348.0,236.0,0,10.0,34.0,0
Fos|fosA_10_EU195449|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,0,0,0,0,0,0,0,25.0,0,0,0,0,0,0,0,0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gi|72199369|gb|DQ139328.1|betalactams|Class_C_betalactamases|CMY,758.0,0,0,99.0,0,265.0,0,473.0,77.0,0,89.0,171.0,559.0,0,0,0,450.0,400.0,437.0,246.0,0,0,0,543.0,0,0,49.0,0,0,0,0
Phe|NC_004973.1.1449618|Phenicol|Chloramphenicol_acetyltransferases|CATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,0,0,0,0,0,0,0,0,0,0,0
43|L20800.1|CLOTETP|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETB,0,0,0,0,0,0,227.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561.0,0,0,0
Gly|VanXYc3|AY033764|1075-1647|573|Glycopeptides|VanC-type_resistance_protein|VANXYC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0
Flq|QnrB36|JN173058|37-681|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,0,0,0,0,0,0,0,44.0,0,0,0,51.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGly|AadA3|AF047479|1296-2087|792|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,66.0,605.0,345.0,904.0,47.0,429.0,725.0,1169.0,20.0,221.0,496.0,34.0,470.0,1084.0,0,652.0,539.0,63.0,1106.0,164.0,810.0,84.0,1092.0,564.0,682.0,167.0,200.0,217.0,0,121.0
CARD|phgb|NC_007779|1115840-1117067|ARO:3001329|mdtG|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTG,2281.0,1852.0,1849.0,2326.0,2014.0,2259.0,1393.0,2326.0,2338.0,392.0,2384.0,2348.0,2274.0,1954.0,2316.0,593.0,2335.0,2337.0,2219.0,2315.0,634.0,2171.0,761.0,2354.0,2235.0,2290.0,2365.0,1832.0,552.0,188.0,77.0
gi|121485910|gb|EF136376.1|betalactams|Class_A_betalactamases|TEM,0,0,0,0,0,0,0,84.0,99.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLS|mefA_10_AF376746|MLS|Macrolide_resistance_efflux_pumps|MEFA,0,0,147.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gi|56554772|gb|AY847148.1|betalactams|Class_A_betalactamases|CTX,0,0,0,18.0,0,0,0,58.0,0,0,0,49.0,0,0,0,0,66.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
672|AF181950.1|AF181950|betalactams|Penicillin_binding_protein|MECA,0,0,0,0,0,0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gi|417350421|gb|JX896165.1|betalactams|Class_A_betalactamases|CTX,381.0,66.0,0,904.0,0,300.0,0,0,0,0,254.0,859.0,300.0,0,0,0,0,0,118.0,0,0,0,0,0,323.0,729.0,252.0,0,0,0,0
Sul|sul2_5_AY524415|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,0,357.0,0,332.0,458.0,0,0,559.0,587.0,0,0,0,534.0,0,290.0,0,551.0,255.0,186.0,307.0,0,0,259.0,0,0,590.0,0,241.0,484.0,0,452.0
Bla|cfxA2|AF504910|1-966|966|betalactams|Class_A_betalactamases|CFX,0,153.0,83.0,0,0,96.0,0,0,0,82.0,118.0,0,0,124.0,0,0,0,0,253.0,0,0,0,127.0,0,0,0,82.0,103.0,0,0,0
8|AF173226.1|AF173226|Multi-drug_resistance|Multi-drug_efflux_pumps|sme,86.0,0,306.0,0,236.0,128.0,489.0,0,0,264.0,0,0,88.0,0,0,0,0,235.0,50.0,0,0,281.0,320.0,0,0,0,0,264.0,0,66.0,0
Bla|CTX-M-14_5_AJ416341|betalactams|Class_A_betalactamases|CTX,436.0,95.0,0,1150.0,0,445.0,0,97.0,0,0,318.0,1150.0,429.0,31.0,0,0,98.0,0,168.0,0,0,0,0,0,409.0,947.0,339.0,0,0,0,0
AGly|AF313472.2|gene16|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,1395.0,1303.0,1304.0,1454.0,1277.0,1043.0,1336.0,1443.0,1410.0,781.0,1332.0,1429.0,1389.0,1265.0,1355.0,861.0,1429.0,1399.0,1267.0,1424.0,95.0,1384.0,1213.0,1399.0,1276.0,1381.0,1315.0,1033.0,828.0,584.0,1502.0
gi|40737711|gb|AY368237.1|betalactams|Class_A_betalactamases|TEM,497.0,124.0,85.0,406.0,82.0,142.0,0,342.0,452.0,0,273.0,630.0,352.0,18.0,285.0,0,311.0,74.0,291.0,365.0,0,0,0,460.0,170.0,230.0,113.0,12.0,0,16.0,0
6|AF173226.1|AF173226|Multi-drug_resistance|Multi-drug_efflux_pumps|sme,44.0,0,297.0,0,222.0,88.0,485.0,0,0,221.0,0,0,59.0,0,0,0,0,233.0,53.0,0,0,265.0,285.0,0,58.0,0,0,231.0,0,55.0,0
gi|16798375|gb|AF427130.1|betalactams|Class_A_betalactamases|TEM,0,0,0,0,0,89.0,0,51.0,70.0,0,37.0,70.0,0,0,0,0,36.0,0,212.0,37.0,0,0,0,46.0,0,0,0,0,74.0,0,0
Mdr|CP000034.1|gene2198|Multi-drug_resistance|MDR_regulator|ASMA,3547.0,2928.0,2841.0,3570.0,3159.0,3549.0,1946.0,3594.0,3600.0,474.0,3641.0,3615.0,3569.0,2964.0,3558.0,1525.0,3576.0,3593.0,3499.0,3566.0,1122.0,3035.0,1114.0,3591.0,3489.0,3490.0,3623.0,2916.0,804.0,432.0,93.0
Bla|SHV-1_3_X98098|betalactams|Class_A_betalactamases|SHV,0,0,0,0,0,0,0,24.0,0,0,0,0,0,0,0,0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
939|U10186.1|ECU10186|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,909.0,0,0,961.0,0,786.0,9.0,658.0,0,14.0,911.0,962.0,901.0,211.0,0,91.0,644.0,0,748.0,0,0,0,10.0,0,831.0,844.0,879.0,0,0,44.0,8.0
CARD|phgb|AY743434|46-1198|ARO:3002029|CMY-18|betalactams|Class_C_betalactamases|CMY,903.0,0,0,80.0,0,196.0,0,548.0,46.0,0,0,164.0,592.0,0,0,0,473.0,424.0,380.0,208.0,0,0,0,537.0,0,0,34.0,0,0,0,0
Bla|TEM-7|AF527798|1-785|785|betalactams|Class_A_betalactamases|TEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0,0,0
AGly|AadA1|M95287|3320-4111|792|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,684.0,256.0,363.0,0,375.0,0,52.0,24.0,89.0,205.0,41.0,34.0,102.0,0,0,693.0,408.0,10.0,0,0,232.0,594.0,0,0,77.0,454.0,626.0,0,614.0
CARD|phgb|L20573|297-1218|ARO:3002987|bcrA|Bacitracin|Bacitracin_ABC_transporter|BCRA,0,0,0,0,0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,0,0,0,0,0,25.0,0,0,0,0,0,0
Flq|CP000647.1|gene3437|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,0,198.0,0,0,134.0,0,0,1598.0,39.0,0,0,0,0,0,0,0,1601.0,151.0,0,39.0,0,0,0,0,0,0,0,135.0,0,0,0
CARD|phgb|KF732714|0-657|ARO:3002798|QnrS9|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS,0,86.0,0,166.0,0,0,0,422.0,0,0,0,112.0,0,0,0,0,428.0,0,0,0,0,0,0,0,0,39.0,0,0,0,0,0
gi|2765064|emb|Y10278.1|betalactams|Class_A_betalactamases|CTX,0,0,0,0,0,0,0,63.0,0,0,0,84.0,0,0,0,0,75.0,0,0,0,0,0,0,0,0,22.0,0,0,0,0,0
1479|HF953351.1|HF953351|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,1615.0,1579.0,1604.0,1614.0,1591.0,1409.0,1600.0,1615.0,1615.0,1142.0,1609.0,1616.0,1612.0,1565.0,1613.0,1161.0,1615.0,1616.0,1587.0,1616.0,130.0,1611.0,1512.0,1615.0,1601.0,1606.0,1594.0,1346.0,1131.0,839.0,1617.0
937|M94066.1|SMAAACGIC|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,0,0,0,0,93.0,19.0,0,0,53.0,0,0,0,0,0,0,0
Bla|CTX-M-1|X92506|63-938|866|betalactams|Class_A_betalactamases|CTX,0,0,0,0,0,0,0,187.0,0,0,0,0,0,0,0,0,207.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sul|sul1_16_EF667294|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,0,0,430.0,569.0,488.0,0,0,361.0,680.0,0,0,585.0,0,0,524.0,0,0,571.0,0,534.0,0,448.0,0,594.0,411.0,593.0,0,0,0,0,0
CARD|phgb|AF173226|1037-2441|ARO:3003067|smeS|Multi-drug_resistance|Multi-drug_efflux_pumps|sme,156.0,0,773.0,0,591.0,238.0,1164.0,0,0,733.0,0,0,191.0,88.0,0,60.0,0,611.0,120.0,0,0,667.0,779.0,0,161.0,0,0,654.0,0,180.0,0
1267|AB976602.1|AB976602|betalactams|Class_A_betalactamases|CTX,159.0,65.0,0,521.0,0,144.0,0,0,0,0,128.0,509.0,163.0,0,0,0,23.0,0,0,0,0,0,0,0,141.0,470.0,102.0,0,0,0,0
1463|M81802.1|STAMSRB|MLS|Macrolide_resistance_efflux_pumps|MSRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424.0
Flq|NC_009487.5169058|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,0,0,145.0,0,142.0,0,240.0,0,0,133.0,0,0,0,0,0,0,0,125.0,0,0,0,102.0,225.0,0,0,0,0,166.0,0,0,0
Bla|SHV-110|HQ877614|1-861|861|betalactams|Class_A_betalactamases|SHV,0,0,0,0,0,0,0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sul|NC_011586.7045208|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,61.0,47.0,605.0,863.0,717.0,140.0,864.0,618.0,1005.0,172.0,448.0,880.0,136.0,412.0,813.0,60.0,566.0,901.0,363.0,831.0,191.0,754.0,672.0,926.0,661.0,864.0,367.0,274.0,98.0,0,250.0
CARD|phgb|JN086160|1582-2407|ARO:3001777|OXA-347|betalactams|Class_D_betalactamases|OXA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,0,0,0,0,27.0,13.0,0,0
Tmt|DfrA15|JN108895|93-551|474|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tet|tetM_12_FR671418|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0,0,287.0,0,350.0,0,181.0,0,0,0,309.0,0,0,912.0,0,0,0,0,0,0,0,0,0,0,0,0,107.0,0,132.0,0,808.0
Phe|U12338.3|gene8|Phenicol|Phenicol_efflux_pumps|CML,0,0,0,0,54.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,467.0,0,0
Bla|CTX-M-32|AJ557142|1-876|876|betalactams|Class_A_betalactamases|CTX,0,0,0,0,0,0,0,134.0,0,0,0,0,0,0,0,0,161.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bla|TEM-191|JF949916|1-757|757|betalactams|Class_A_betalactamases|TEM,570.0,110.0,78.0,486.0,55.0,147.0,14.0,404.0,535.0,0,347.0,688.0,378.0,12.0,322.0,0,362.0,78.0,255.0,499.0,0,0,0,536.0,250.0,248.0,163.0,0,0,0,0
ACou|CP003583.1|gene1173|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,0,53.0,3940.0,21.0,3884.0,0,4045.0,215.0,0,3987.0,0,0,0,0,0,0,195.0,3941.0,0,77.0,0,3960.0,4040.0,0,0,59.0,0,3992.0,671.0,0,2951.0
Bla|AB008454.1|gene1|betalactams|Class_C_betalactamases|SRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.0,0,0,0,0,0,0,0,0,0,0,0
gi|126013510|gb|EF415650.1|betalactams|Class_C_betalactamases|CMY,691.0,0,0,58.0,0,169.0,0,429.0,41.0,0,79.0,127.0,507.0,0,0,0,399.0,303.0,260.0,155.0,0,0,0,455.0,0,0,40.0,0,0,0,0
Bla|OXA-144_1_FJ617207|betalactams|Class_D_betalactamases|OXA,0,0,35.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sul|sul1_17_AM746675|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,61.0,52.0,645.0,895.0,781.0,174.0,887.0,653.0,1049.0,188.0,452.0,915.0,167.0,449.0,849.0,60.0,596.0,909.0,405.0,922.0,195.0,768.0,670.0,953.0,731.0,919.0,416.0,318.0,123.0,0,260.0
AGly|AJ809407.1|gene1|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,0,57.0,658.0,91.0,0,488.0,90.0,63.0,0,420.0,604.0,0,0,344.0,0,67.0,194.0,0,0,0,17.0,261.0,322.0,0,57.0,403.0,103.0,759.0,0,696.0
gi|544598945|gb|KF240809.1|betalactams|Class_A_betalactamases|CTX,0,0,0,34.0,0,0,0,81.0,0,0,0,109.0,0,0,0,0,101.0,0,0,0,0,0,0,0,0,37.0,0,0,0,0,0
Tet|tetC_1_NC_002109|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETC,0,0,1028.0,0,149.0,0,1683.0,0,22.0,0,0,0,0,0,1692.0,64.0,0,0,0,67.0,0,0,1807.0,0,0,0,0,511.0,0,0,0
Flq|OqxBgb|EU370913|47851-51003|3153|Multi-drug_resistance|Multi-drug_efflux_pumps|OQXB,0,460.0,0,41.0,413.0,0,81.0,3490.0,149.0,57.0,0,84.0,0,0,0,0,3464.0,644.0,48.0,122.0,0,74.0,92.0,0,102.0,0,0,447.0,0,0,0
Mdr|AP009048.1|gene2135|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTD,2661.0,2233.0,2305.0,2758.0,2494.0,2696.0,1857.0,2756.0,2741.0,523.0,2766.0,2758.0,2723.0,2324.0,2696.0,911.0,2763.0,2765.0,2657.0,2711.0,757.0,2663.0,909.0,2757.0,2681.0,2741.0,2766.0,2307.0,702.0,325.0,100.0
MLS|LnuA|M14039|413-898|486|MLS|Lincosamide_nucleotidyltransferases|LNUA,0,0,76.0,0,34.0,0,27.0,0,167.0,41.0,0,0,0,0,0,0,0,8.0,0,0,0,35.0,73.0,0,0,0,0,52.0,165.0,0,370.0
Bla|CTX-M-114|GQ351346|1-876|876|betalactams|Class_A_betalactamases|CTX,0,0,0,0,0,0,0,69.0,0,0,0,98.0,0,0,0,0,84.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
